           1      1.10306   0.00524927
        1.05      2.03213   0.00855488
         1.1      2.60597    0.0105646
        1.15      2.68909    0.0108557
         1.2      2.37716   0.00976562
        1.25      1.77953   0.00766558
         1.3      1.10693   0.00526405
        1.35     0.539705   0.00314229
         1.4      0.19247   0.00165152
        1.45    0.0433909  0.000733528
         1.5    0.0103986   0.00035336
        1.55    0.0313384  0.000619758
         1.6    0.0850783   0.00104743
        1.65     0.171455   0.00154515
         1.7     0.291178   0.00211442
        1.75     0.409229   0.00261887
         1.8     0.490568   0.00294913
        1.85     0.501219   0.00299163
         1.9     0.436296   0.00273035
        1.95     0.322101   0.00225099
           2     0.189219   0.00163653
